,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,399106.SZ,20201105,2299.8733,2282.4609,2300.2543,2273.161,2262.1353,37.738,1.6682,365666337.0,543460270.0
1,399106.SZ,20201104,2262.1353,2256.3093,2265.5706,2241.9497,2255.0834,7.0519,0.3127,313047921.0,459035900.6
2,399106.SZ,20201103,2255.0834,2231.7581,2255.95,2223.2448,2223.3872,31.6962,1.4256,340463044.0,481006434.7
3,399106.SZ,20201102,2223.3872,2202.1417,2228.5578,2197.0136,2198.0667,25.3205,1.1519,339213436.0,487108359.3
4,399106.SZ,20201030,2198.0667,2251.7592,2253.6136,2193.8283,2249.5738,-51.5071,-2.2896,375533727.0,541925080.2
5,399106.SZ,20201029,2249.5738,2209.0705,2259.8372,2205.525,2239.108,10.4658,0.4674,333886231.0,501664581.2
6,399106.SZ,20201028,2239.108,2223.2732,2246.2902,2206.1377,2223.9227,15.1853,0.6828,323764777.0,476942312.1
7,399106.SZ,20201027,2223.9227,2205.8207,2226.6454,2203.5892,2212.0668,11.8559,0.536,287862556.0,413768087.5
8,399106.SZ,20201026,2212.0668,2190.317,2219.8514,2168.066,2200.5601,11.5067,0.5229,275996973.0,398146021.3
9,399106.SZ,20201023,2200.5601,2244.2557,2258.0053,2196.7989,2243.2389,-42.6788,-1.9026,302441216.0,437815005.0
10,399106.SZ,20201022,2243.2389,2245.0515,2250.7402,2221.7493,2254.2341,-10.9952,-0.4878,301609581.0,427265152.0
11,399106.SZ,20201021,2254.2341,2280.8235,2280.8235,2244.4313,2279.3831,-25.149,-1.1033,317733958.0,459418254.6
12,399106.SZ,20201020,2279.3831,2247.157,2279.3831,2239.0289,2249.5271,29.856,1.3272,316415075.0,439564288.3
13,399106.SZ,20201019,2249.5271,2280.5746,2283.772,2244.3048,2265.4332,-15.9061,-0.7021,329474818.0,455213802.8
14,399106.SZ,20201016,2265.4332,2271.782,2281.1174,2247.7382,2274.3913,-8.9581,-0.3939,324165932.0,455149173.3
15,399106.SZ,20201015,2274.3913,2290.6184,2293.6575,2273.7439,2290.3998,-16.0085,-0.6989,355639109.0,500158366.8
16,399106.SZ,20201014,2290.3998,2301.2401,2302.7956,2284.8308,2304.1906,-13.7908,-0.5985,383224866.0,546479958.0
17,399106.SZ,20201013,2304.1906,2285.173,2307.661,2275.0889,2289.357,14.8336,0.6479,381159337.0,546433468.6
18,399106.SZ,20201012,2289.357,2233.1451,2289.357,2233.1451,2215.9609,73.3961,3.3122,434000412.0,615691921.1
